Project ID,Customer Name,Customer Group Description,Delivery IBU ID,Delivery IBG ID,Proj Pricing Model,Fiscal Month,Fiscal Year,Vertical,Sales SBU ID,Sales IBG ID,Contract Sub Type,Quarter, Revenue Offshore, Revenue Onsite, Revenue Bought Out, Revenue Total
Y.GM2100007,Customer 29,Customer Group 8,DEA-D-4005,DEA-D-3004,FP,JAN,2024,MAN,EMEA-SALES,SICE,NA,Q4'25,1,1,1,1
Y.GM2100007,Customer 29,Customer Group 8,DEA-D-4005,DEA-D-3004,FP,FEB,2024,MAN,EMEA-SALES,SICE,NA,Q4'25,1,1,1,1
Y.GM2100007,Customer 29,Customer Group 8,DEA-D-4005,DEA-D-3004,FP,MAR,2024,MAN,EMEA-SALES,SICE,NA,Q4'25,1,1,1,1
Y.GM2300009,Customer 29,Customer Group 8,DEA-D-4004,DEA-D-3004,FP,JAN,2024,MAN,EMEA-SALES,SICE,NA,Q4'25,1,1,1,1
Y.GM2300009,Customer 29,Customer Group 8,DEA-D-4004,DEA-D-3004,FP,FEB,2024,MAN,EMEA-SALES,SICE,NA,Q4'25,1,1,1,1
Y.GM2300009,Customer 29,Customer Group 8,DEA-D-4004,DEA-D-3004,FP,MAR,2024,MAN,EMEA-SALES,SICE,NA,Q4'25,1,1,1,1
Y.GM2300033,Customer 30,Customer Group 8,DEA-D-4002,DEA-D-3004,FP,JAN,2024,MAN,EMEA-SALES,SICE,FP OUTCOME BASED,Q4'25,"9,442.74",1,1,"13,957.51"
Y.GM2300033,Customer 30,Customer Group 8,DEA-D-4002,DEA-D-3004,FP,FEB,2024,MAN,EMEA-SALES,SICE,FP OUTCOME BASED,Q4'25,"7,843.14",111,1,"14,361.95"
Y.GM2300033,Customer 30,Customer Group 8,DEA-D-4002,DEA-D-3004,FP,MAR,2024,MAN,EMEA-SALES,SICE,FP OUTCOME BASED,Q4'25,"4,608.95","3,185.30",1,"7,794.25"
Y.GM2300041,Customer 31,Customer Group 29,DEA-D-4002,DEA-D-3004,FP,JAN,2024,BFS,EMEA-SALES,SEU03_BFSI,FP EMI,Q4'25,1,-19.14,1,-19.14
Y.GM2300041,Customer 31,Customer Group 29,DEA-D-4002,DEA-D-3004,FP,FEB,2024,BFS,EMEA-SALES,SEU03_BFSI,FP EMI,Q4'25,1,0.77,1,0.77
Y.GM2300041,Customer 31,Customer Group 29,DEA-D-4002,DEA-D-3004,FP,MAR,2024,BFS,EMEA-SALES,SEU03_BFSI,FP EMI,Q4'25,1,32.41,1,32.41
Y.GM2300049,Customer 29,Customer Group 8,DEA-D-4004,DEA-D-3004,FP,JAN,2024,MAN,EMEA-SALES,SICE,OUTCOME BASED,Q4'25,"80,811.77","48,941.03",1,"129,752.80"
Y.GM2300049,Customer 29,Customer Group 8,DEA-D-4004,DEA-D-3004,FP,FEB,2024,MAN,EMEA-SALES,SICE,OUTCOME BASED,Q4'25,"60,509.73","78,524.47",1,"139,034.19"
Y.GM2300049,Customer 29,Customer Group 8,DEA-D-4004,DEA-D-3004,FP,MAR,2024,MAN,EMEA-SALES,SICE,OUTCOME BASED,Q4'25,"95,400.31","92,505.84",1,"187,906.14"
Y.GM2300050,Customer 29,Customer Group 8,DEA-D-4003,DEA-D-3004,FP,JAN,2024,MAN,EMEA-SALES,SICE,OUTCOME BASED,Q4'25,-10.05,-11.23,1,-21.29
Y.GM2300050,Customer 29,Customer Group 8,DEA-D-4003,DEA-D-3004,FP,FEB,2024,MAN,EMEA-SALES,SICE,OUTCOME BASED,Q4'25,56.5,0.45,1,56.95
Y.GM2300050,Customer 29,Customer Group 8,DEA-D-4003,DEA-D-3004,FP,MAR,2024,MAN,EMEA-SALES,SICE,OUTCOME BASED,Q4'25,17.18,19.03,1,36.21
Y.GM2300055,Customer 29,Customer Group 8,DEA-D-4005,DEA-D-3004,FP,JAN,2024,MAN,EMEA-SALES,SICE,OUTCOME BASED,Q4'25,"61,812.67","37,525.76",1,"99,338.43"
Y.GM2300055,Customer 29,Customer Group 8,DEA-D-4005,DEA-D-3004,FP,FEB,2024,MAN,EMEA-SALES,SICE,OUTCOME BASED,Q4'25,"41,143.31","56,354.07",1,"97,497.39"
Y.GM2300055,Customer 29,Customer Group 8,DEA-D-4005,DEA-D-3004,FP,MAR,2024,MAN,EMEA-SALES,SICE,OUTCOME BASED,Q4'25,"94,121.75","89,201.44",1,"183,323.19"
Y.GM2400015,Customer 30,Customer Group 8,DEA-D-4003,DEA-D-3004,FP,JAN,2024,MAN,EMEA-SALES,SICE,FP OUTCOME BASED,Q4'25,-10.37,-3.08,1,-13.45
Y.GM2400015,Customer 30,Customer Group 8,DEA-D-4003,DEA-D-3004,FP,FEB,2024,MAN,EMEA-SALES,SICE,FP OUTCOME BASED,Q4'25,0.41,0.12,1,0.54
Y.GM2400015,Customer 30,Customer Group 8,DEA-D-4003,DEA-D-3004,FP,MAR,2024,MAN,EMEA-SALES,SICE,FP OUTCOME BASED,Q4'25,17.57,5.22,1,22.79
Y.GM2400016,Customer 30,Customer Group 8,DEA-D-4004,DEA-D-3004,FP,JAN,2024,MAN,EMEA-SALES,SICE,FP OUTCOME BASED,Q4'25,"2,230.57","1,074.11",1,"3,304.68"
Y.GM2400016,Customer 30,Customer Group 8,DEA-D-4004,DEA-D-3004,FP,FEB,2024,MAN,EMEA-SALES,SICE,FP OUTCOME BASED,Q4'25,"1,667.84","1,619.82",1,"3,287.66"
Y.GM2400016,Customer 30,Customer Group 8,DEA-D-4004,DEA-D-3004,FP,MAR,2024,MAN,EMEA-SALES,SICE,FP OUTCOME BASED,Q4'25,"2,184.86","1,590.87",1,"3,775.72"
Y.GM2400035,Customer 31,Customer Group 29,DEA-D-4002,DEA-D-3004,FP,JAN,2024,BFS,EMEA-SALES,SEU03_BFSI,FP EMI,Q4'25,1,"1,221.99",1,"1,221.99"
Y.GM2400035,Customer 31,Customer Group 29,DEA-D-4002,DEA-D-3004,FP,FEB,2024,BFS,EMEA-SALES,SEU03_BFSI,FP EMI,Q4'25,1,0.08,1,0.08
Y.GM2400035,Customer 31,Customer Group 29,DEA-D-4002,DEA-D-3004,FP,MAR,2024,BFS,EMEA-SALES,SEU03_BFSI,FP EMI,Q4'25,1,3.25,1,3.25
Y.IC2300009,Customer 32,Customer Group 30,DEA-D-4004,DEA-D-3004,FP,JAN,2024,BFS,APJ-SALES,IBGSEABFSI,EMI,Q4'25,5.04,1,25.18,30.21
Y.IC2300009,Customer 32,Customer Group 30,DEA-D-4004,DEA-D-3004,FP,FEB,2024,BFS,APJ-SALES,IBGSEABFSI,EMI,Q4'25,5.34,1,26.69,32.03
Y.IC2300009,Customer 32,Customer Group 30,DEA-D-4004,DEA-D-3004,FP,MAR,2024,BFS,APJ-SALES,IBGSEABFSI,EMI,Q4'25,4.72,1,23.6,28.32
Y.IC2300026,Customer 32,Customer Group 30,DEA-D-4004,DEA-D-3004,FP,JAN,2024,BFS,APJ-SALES,IBGSEABFSI,FP EMI,Q4'25,1,1,22.19,22.19
Y.IC2300026,Customer 32,Customer Group 30,DEA-D-4004,DEA-D-3004,FP,FEB,2024,BFS,APJ-SALES,IBGSEABFSI,FP EMI,Q4'25,1,11,23.52,23.52
Y.IC2300026,Customer 32,Customer Group 30,DEA-D-4004,DEA-D-3004,FP,MAR,2024,BFS,APJ-SALES,IBGSEABFSI,FP EMI,Q4'25,1,1,20.8,20.8
Y.IC2300035,Customer 32,Customer Group 30,DEA-D-4004,DEA-D-3004,FP,JAN,2024,BFS,APJ-SALES,IBGSEABFSI,FP EMI,Q4'25,39.63,19.68,80.96,140.27
Y.IC2300035,Customer 32,Customer Group 30,DEA-D-4004,DEA-D-3004,FP,FEB,2024,BFS,APJ-SALES,IBGSEABFSI,FP EMI,Q4'25,42.01,20.86,85.83,148.7
Y.IC2300068,Customer 34,Customer Group 32,DEA-D-4003,DEA-D-3004,FP,JAN,2024,COM,APJ-SALES,IBGSEACOMS,TRANSACTION BASED,Q4'25,1,"2,420.27", -   ,"2,420.27"
Y.IC2300068,Customer 34,Customer Group 32,DEA-D-4003,DEA-D-3004,FP,FEB,2024,COM,APJ-SALES,IBGSEACOMS,TRANSACTION BASED,Q4'25,1,"2,336.15", -   ,"2,336.15"
Y.IC2300068,Customer 34,Customer Group 32,DEA-D-4003,DEA-D-3004,FP,MAR,2024,COM,APJ-SALES,IBGSEACOMS,TRANSACTION BASED,Q4'25,1,214.79, -   ,214.79
Y.ID2300035,Customer 39,Customer Group 6,DEA-D-4003,DEA-D-3004,FP,JAN,2024,COM,APJ-SALES,IBGSEACOMS,OUTCOME BASED,Q4'25,1,"5,977.15","1,631.50","7,608.65"
Y.ID2300035,Customer 39,Customer Group 6,DEA-D-4003,DEA-D-3004,FP,FEB,2024,COM,APJ-SALES,IBGSEACOMS,OUTCOME BASED,Q4'25,1,"15,418.80","2,368.57","17,787.37"
Y.ID2300035,Customer 39,Customer Group 6,DEA-D-4003,DEA-D-3004,FP,MAR,2024,COM,APJ-SALES,IBGSEACOMS,OUTCOME BASED,Q4'25, -   ,"-1,751.54","2,436.29",684.75
Y.ID2300048,Customer 39,Customer Group 6,DEA-D-4003,DEA-D-3004,FP,JAN,2024,COM,APJ-SALES,IBGSEACOMS,OUTCOME BASED,Q4'25,1,"1,231.62",-349.32,882.3
Y.ID2300048,Customer 39,Customer Group 6,DEA-D-4003,DEA-D-3004,FP,FEB,2024,COM,APJ-SALES,IBGSEACOMS,OUTCOME BASED,Q4'25,1,66.19,-494.37,-428.18
